"letzter Abo - Auftrag: Auftrag";"letzter Abo - Auftrag: Kündigung erfasst am";"SAP GP Nummer";"Emailkontakt Text"
"2114557823-0020";"01.04.2026";"0019150795";"SHZV-Nein"
"2115095912-0010";"01.04.2026";"0019335515";"SHZV-Ja"
"2113179100-0010";"01.04.2026";"0019049847";"SHZV-Ja"
"2114481450-0010";"01.04.2026";"0017619574";"SHZV-Ja"
"2114819342-0020";"01.04.2026";"0019524976";"SHZV-Nein"
"2114761702-0010";"01.04.2026";"0019380532";"SHZV-Ja"
"2110214835-0010";"01.04.2026";"0016356721";"SHZV-Ja"
"2112807278-0010";"01.04.2026";"0018559122";"BEIV-Ja;SHZV-Ja"
"2112127944-0010";"01.04.2026";"0017838627";""
"2115122482-0020";"01.04.2026";"0017357362";"SHZV-Ja"
"2115123697-0020";"01.04.2026";"0019608752";"SHZV-Nein"
"2115123812-0020";"01.04.2026";"0019328502";"SHZV-Ja"
"2115181206-0010";"01.04.2026";"0019621586";"SHZV-Nein"
"2115182440-0010";"01.04.2026";"0019401100";"SHZV-Ja"
"2115183132-0010";"01.04.2026";"0019012540";"SHZV-Ja"
"2115183475-0010";"01.04.2026";"0019622075";""
"2115180919-0010";"01.04.2026";"0018982669";"SHZV-Ja"
"2115184159-0010";"01.04.2026";"0019371953";"Global-Nein"
"2110349524-0060";"01.04.2026";"0016127490";"Global-Nein"
"2115092676-0010";"01.04.2026";"0019064645";"SHZV-Ja"
"2115184779-0010";"01.04.2026";"0019622397";""
"2110278981-0030";"01.04.2026";"0016654379";""
"2113627234-0010";"01.04.2026";"0016075906";"SHZV-Ja"
"2110307893-0020";"02.04.2026";"0016080893";"SHZV-Nein"
"2114140358-0010";"02.04.2026";"0019365655";"SHZV-Nein"
"2114994749-0010";"02.04.2026";"0018986653";"SHZV-Ja"
"2112582880-0010";"02.04.2026";"0018820653";""
"2110378508-0030";"02.04.2026";"0017209835";"SHZV-Ja"
"2110361557-0040";"02.04.2026";"0017341106";""
"2113352550-0010";"02.04.2026";"0017655494";""
"2112490950-0010";"02.04.2026";"0018786461";""
"2112173114-0010";"02.04.2026";"0016494757";"Global-Nein"
"2110432407-0050";"02.04.2026";"0017051399";"Global-Nein"
"2110317881-0010";"02.04.2026";"0016237301";""
"2110268073-0030";"02.04.2026";"0016420874";"SHZV-Ja"
"2110302601-0010";"02.04.2026";"0016227252";""
"2110358996-0030";"02.04.2026";"0016344160";""
"2110365934-0010";"02.04.2026";"0017005013";"Global-Nein"
"2114011455-0010";"02.04.2026";"0018562063";"SHZV-Nein"
"2114244528-0010";"02.04.2026";"0019224227";""
"2114291746-0010";"02.04.2026";"0017004180";"BEIV-Ja;SHZV-Ja"
"2114599025-0010";"02.04.2026";"0018893328";"SHZV-Nein"
"2110285754-0010";"02.04.2026";"0016218530";"SHZV-Ja"
"2114756317-0010";"02.04.2026";"0019506872";"SHZV-Ja"
"2114839236-0010";"02.04.2026";"0016259944";"SHZV-Ja"
"2114871226-0010";"02.04.2026";"0019424257";"SHZV-Ja"
"2114930930-0010";"02.04.2026";"0016009426";""
"2114970915-0020";"02.04.2026";"0019572480";"SHZV-Nein"
"2113553911-0010";"02.04.2026";"0019071089";""
"2115133641-0020";"02.04.2026";"0019610847";"SHZV-Ja"
"2113012940-0010";"02.04.2026";"0018982312";""
"2112974031-0010";"02.04.2026";"0018512254";"Global-Nein"
"2113430526-0010";"02.04.2026";"0016536150";"SHZV-Ja"
"2112590675-0010";"02.04.2026";"0018825248";"SHZV-Nein"
"2114881870-0010";"02.04.2026";"0016045338";""
"2115079981-0010";"02.04.2026";"0016078988";"SHZV-Ja"
"2115181937-0010";"02.04.2026";"0019485027";"SHZV-Ja"
"2110339223-0010";"02.04.2026";"0016254398";""
"2114261569-0010";"02.04.2026";"0019291565";"SHZV-Ja"
"2110292678-0020";"02.04.2026";"0016451079";""
"2114367434-0020";"02.04.2026";"0017820703";"SHZV-Ja"
"2114522815-0010";"02.04.2026";"0018988427";"BEIV-Nein"
"2114927860-0010";"02.04.2026";"0016387667";"Global-Nein"
"2110491737-0020";"02.04.2026";"0016077041";"Global-Nein"
"2115020822-0010";"02.04.2026";"0017697681";""
"2112930427-0010";"02.04.2026";"0018806854";"BEIV-Ja;SHZV-Ja"
"2113534826-0010";"02.04.2026";"0019175213";""
"2114697717-0010";"02.04.2026";"0019266583";"Global-Nein"
"2114703896-0010";"02.04.2026";"0019507905";"SHZV-Ja"
"2114811450-0010";"02.04.2026";"0017456557";"SHZV-Ja"
"2114849029-0010";"02.04.2026";"0017039298";"SHZV-Ja"
"2114871439-0010";"02.04.2026";"0016229596";"SHZV-Ja"
"2114970575-0010";"02.04.2026";"0018325866";"SHZV-Nein"
"2115009847-0020";"02.04.2026";"0018506987";"SHZV-Ja"
"2115179901-0010";"02.04.2026";"0019550924";"SHZV-Ja"
"2112126475-0010";"02.04.2026";"0017840335";"SHZV-Ja"
"2111555911-0030";"02.04.2026";"0018415669";"Global-Nein"
"2113973126-0010";"02.04.2026";"0019310539";""
"2114091726-0010";"02.04.2026";"0019349809";""
"2114245106-0010";"02.04.2026";"0019321814";""
"2110244803-0030";"02.04.2026";"0016551156";"SHZV-Ja"
"2114949186-0010";"02.04.2026";"0018879639";"BEIV-Ja;SHZV-Ja"
"2114829068-0010";"02.04.2026";"0016474481";"SHZV-Ja"
"2114811015-0010";"02.04.2026";"0018076955";"SHZV-Ja"
"2114419364-0010";"02.04.2026";"0016181642";"SHZV-Nein"
"2114815850-0020";"02.04.2026";"0018096766";"SHZV-Ja"
"2114830110-0010";"02.04.2026";"0016448456";"SHZV-Ja"
"2110251315-0010";"02.04.2026";"0016202268";""
"2115180956-0010";"02.04.2026";"0019493886";"SHZV-Ja"
"2115124702-0020";"02.04.2026";"0019608940";""
"2115127214-0020";"02.04.2026";"0019193339";"SHZV-Ja"
"2115179454-0010";"02.04.2026";"0019437669";""
"2115182272-0010";"02.04.2026";"0019621848";"SHZV-Ja"
"2115175923-0010";"02.04.2026";"0019376527";"SHZV-Ja"
"2115184824-0010";"02.04.2026";"0019622409";"SHZV-Nein"
"2115184979-0010";"02.04.2026";"0019622458";""
"2114671099-0010";"02.04.2026";"0019012034";"SHZV-Ja"
"2114929470-0010";"02.04.2026";"0019335129";"SHZV-Ja"
"2115181742-0010";"02.04.2026";"0019621720";"BEIV-Ja;SHZV-Ja"
"2115183224-0010";"02.04.2026";"0019236538";"SHZV-Ja"
"2114861643-0020";"02.04.2026";"0019547469";"SHZV-Nein"
"2114924640-0010";"02.04.2026";"0019489886";"SHZV-Ja"
"2110349785-0060";"02.04.2026";"0016128830";"SHZV-Ja"
"2110272803-0010";"02.04.2026";"0016427216";"SHZV-Ja"
"2110214724-0040";"02.04.2026";"0015489359";"SHZV-Ja"
"2110233929-0010";"02.04.2026";"0016172586";"SHZV-Ja"
"2110264704-0010";"02.04.2026";"0016035433";"SHZV-Ja"
"2113572088-0010";"02.04.2026";"0017583309";"SHZV-Ja"
"2114003000-0020";"03.04.2026";"0019319586";"SHZV-Ja"
"2114811405-0020";"03.04.2026";"0017533775";"SHZV-Ja"
"2114191069-0020";"03.04.2026";"0019380095";"SHZV-Ja"
"2115185332-0010";"03.04.2026";"0019372751";"SHZV-Ja"
"2110250661-0020";"03.04.2026";"0016019343";"SHZV-Ja"
"2111541857-0010";"03.04.2026";"0018079844";""
"2114381944-0010";"03.04.2026";"0017058315";"SHZV-Ja"
"2114442608-0010";"03.04.2026";"0016490222";"SHZV-Ja"
"2114700580-0010";"03.04.2026";"0018785183";"BEIV-Ja;SHZV-Ja"
"2114821679-0020";"03.04.2026";"0018571647";"SHZV-Ja"
"2114944184-0010";"03.04.2026";"0017723813";"BEIV-Ja;SHZV-Ja"
"2114883525-0010";"03.04.2026";"0018940773";"SHZV-Nein"
"2113738945-0010";"03.04.2026";"0017741493";"SHZV-Nein"
"2114116537-0010";"03.04.2026";"0019357823";"SHZV-Ja"
"2113808309-0010";"03.04.2026";"0019238851";"SHZV-Nein"
"2114612858-0010";"03.04.2026";"0019257174";"SHZV-Nein"
"2114818999-0010";"03.04.2026";"0018929989";"SHZV-Ja"
"2114868953-0010";"03.04.2026";"0018495274";"SHZV-Ja;SHZA-Nein"
"2115117796-0010";"03.04.2026";"0018946919";"SHZV-Ja"
"2114295663-0010";"03.04.2026";"0018501094";"BEIV-Ja;SHZV-Ja"
"2114392443-0010";"04.04.2026";"0019431433";"SHZV-Ja;HBWV-Nein"
"2114271253-0010";"04.04.2026";"0019076736";"BEIV-Ja;SHZV-Ja"
"2114539214-0010";"04.04.2026";"0019374144";"SHZV-Ja"
"2114957028-0010";"04.04.2026";"0019358876";"SHZV-Ja"
"2114895300-0010";"04.04.2026";"0019549801";"BEIV-Ja;SHZV-Ja"
"2113297332-0010";"04.04.2026";"0019004864";"SHZV-Ja"
"2113739165-0010";"04.04.2026";"0018789086";"BEIV-Ja;SHZV-Ja"
"2113667497-0010";"04.04.2026";"0018468729";"SHZV-Ja"
"2114676552-0020";"04.04.2026";"0019445200";"SHZV-Ja"
"2114831820-0010";"04.04.2026";"0018520213";"SHZV-Nein"
"2114867385-0010";"04.04.2026";"0018924344";"SHZV-Nein"
"2115129567-0010";"04.04.2026";"0017364160";"BEIV-Ja;SHZV-Ja"
"2114449399-0010";"04.04.2026";"0016371330";"SHZV-Ja"
"2113655010-0010";"04.04.2026";"0019211885";"SHZV-Ja"
"2110354818-0020";"04.04.2026";"0016742641";"SHZV-Ja"
"2110513546-0030";"04.04.2026";"0017437717";"BEIV-Ja;SHZV-Ja"
"2113414024-0010";"04.04.2026";"0016158886";"BEIV-Ja;SHZV-Ja"
"2113342531-0010";"04.04.2026";"0018361129";"SHZV-Ja"
"2114016083-0010";"04.04.2026";"0016019284";"SHZV-Ja"
"2114927397-0010";"04.04.2026";"0019554078";"SHZV-Ja"
"2115146472-0010";"04.04.2026";"0018614779";"SHZV-Ja"
"2110221280-0010";"04.04.2026";"0016158059";"SHZV-Ja"
"2111301073-0010";"04.04.2026";"0018272348";"BEIV-Ja;SHZV-Ja"
"2114987876-0020";"04.04.2026";"0016664958";"SHZV-Ja"
"2115183428-0010";"04.04.2026";"0019521117";"SHZV-Ja"
"2115185354-0010";"04.04.2026";"0019622535";"SHZV-Ja"
"2113672304-0010";"04.04.2026";"0019222262";"SHZV-Ja"
"2113712863-0010";"05.04.2026";"0017715193";""
"2114866956-0020";"05.04.2026";"0019548587";"SHZV-Nein"
"2113560411-0010";"05.04.2026";"0016696299";"SHZV-Ja"
"2111234142-0010";"05.04.2026";"0016507347";""
"2114818377-0020";"05.04.2026";"0019152638";"SHZV-Ja"
"2115017939-0020";"05.04.2026";"0019583665";"SHZV-Ja"
"2114815355-0020";"05.04.2026";"0017439264";"SHZV-Ja"
"2114826309-0010";"05.04.2026";"0019528578";"SHZV-Nein"
"2115145233-0010";"05.04.2026";"0019613173";"SHZV-Ja"
"2115154205-0010";"05.04.2026";"0019614740";""
"2110230104-0010";"05.04.2026";"0016002452";"SHZV-Ja"
"2114683812-0010";"06.04.2026";"0019292069";"SHZV-Ja"
"2113781170-0010";"06.04.2026";"0016128358";"BEIV-Ja;SHZV-Ja"
"2114852341-0010";"06.04.2026";"0019418154";"SHZV-Ja"
"2110473456-0070";"06.04.2026";"0017360364";""
"2112994424-0010";"06.04.2026";"0017707839";"SHZV-Ja"
"2114057243-0010";"06.04.2026";"0016348826";"SHZV-Ja"
"2115029569-0010";"06.04.2026";"0019549391";"SHZV-Ja"
"2114921374-0010";"06.04.2026";"0017042970";"SHZV-Ja"
"2114725775-0010";"06.04.2026";"0018801203";"SHZV-Ja"
"2114783595-0020";"06.04.2026";"0019528233";"SHZV-Nein"
"2114354651-0010";"06.04.2026";"0018542197";"SHZV-Ja"
"2113568672-0010";"07.04.2026";"0018149002";"SHZV-Ja"
"2114815090-0020";"07.04.2026";"0016327509";"SHZV-Ja"
"2110218945-0010";"07.04.2026";"0016362141";"SHZV-Ja"
"2113850410-0010";"07.04.2026";"0016145100";"SHZV-Ja"
"2114132810-0020";"07.04.2026";"0018705815";"SHZV-Ja"
"2114729460-0020";"07.04.2026";"0018891185";"SHZV-Ja"
"2114864634-0010";"07.04.2026";"0018667063";"SHZV-Nein"
"2114866237-0020";"07.04.2026";"0019546703";"SHZV-Ja"
"2114872731-0010";"07.04.2026";"0016145417";"BEIV-Ja;SHZV-Ja"
"2112576735-0010";"07.04.2026";"0018672065";""
"2115061052-0010";"07.04.2026";"0019594873";""
"2115121958-0020";"07.04.2026";"0019517513";"SHZV-Ja"
"2115128413-0020";"07.04.2026";"0019569851";"SHZV-Ja"
"2115142750-0010";"07.04.2026";"0016715411";"BEIV-Ja;SHZV-Ja"
"2115186486-0010";"07.04.2026";"0019260789";"SHZV-Nein"
"2110242456-0030";"07.04.2026";"0016547595";"SHZV-Ja"
"2114238538-0010";"07.04.2026";"0019391585";""
"2114933254-0010";"07.04.2026";"0019564296";"SHZV-Ja"
"2115109233-0010";"07.04.2026";"0016048880";"Global-Nein"
"2115134829-0020";"07.04.2026";"0019611040";""
"2111956215-0010";"07.04.2026";"0018593200";"SHZV-Nein"
"2110338483-0010";"07.04.2026";"0016109807";""
"2113285802-0010";"07.04.2026";"0019086969";""
"2110310076-0070";"07.04.2026";"0016232947";"Global-Nein"
"2110358247-0010";"07.04.2026";"0016340187";"Global-Nein"
"2110255298-0090";"07.04.2026";"0016204218";"Global-Nein"
"2114803329-0010";"07.04.2026";"0019533012";""
"2114804865-0010";"07.04.2026";"0018936306";"SHZV-Nein"
"2114807771-0010";"07.04.2026";"0019518473";"SHZV-Ja"
"2115065282-0010";"07.04.2026";"0017460251";"SHZV-Ja"
"2115169394-0010";"07.04.2026";"0019615983";"Global-Nein"
"2115176622-0010";"07.04.2026";"0019061204";"Global-Nein"
"2115041234-0010";"07.04.2026";"0019399625";"SHZV-Nein"
"2110327994-0030";"07.04.2026";"0016099627";"Global-Nein"
"2112673541-0010";"07.04.2026";"0018854759";"Global-Nein"
"2110249510-0010";"07.04.2026";"0016017280";""
"2113197457-0010";"07.04.2026";"0019056612";""
"2110283125-0010";"07.04.2026";"0016656062";"Global-Nein"
"2110380677-0050";"07.04.2026";"0017212498";"Global-Nein"
"2110260718-0010";"07.04.2026";"0016411441";"Global-Nein"
"2110299158-0010";"07.04.2026";"0016458025";"Global-Nein"
"2110516280-0040";"07.04.2026";"0017447358";"SHZV-Nein"
"2110375638-0010";"07.04.2026";"0017484711";""
"2113973163-0010";"07.04.2026";"0019309607";""
"2112658534-0010";"07.04.2026";"0017081611";"SHZV-Nein"
"2113306382-0010";"07.04.2026";"0016111345";""
"2114423658-0010";"07.04.2026";"0016031999";"SHZV-Nein"
"2114264225-0010";"07.04.2026";"0017790903";"SHZV-Ja"
"2114863834-0010";"07.04.2026";"0017016251";"Global-Nein"
"2115114391-0010";"07.04.2026";"0019017268";"Global-Nein"
"2110246835-0020";"07.04.2026";"0016201023";""
"2115160342-0010";"07.04.2026";"0018147236";"SHZV-Ja"
"2110904280-0010";"07.04.2026";"0018158436";"SHZV-Ja"
"2113971664-0020";"07.04.2026";"0018740158";"BEIV-Ja;SHZV-Ja"
"2112147718-0010";"07.04.2026";"0018516654";"SHZV-Nein"
"2112379052-0020";"07.04.2026";"0017036081";"SHZV-Ja"
"2113394080-0010";"07.04.2026";"0019125000";"SHZV-Ja"
"2114325883-0010";"07.04.2026";"0016001751";"BEIV-Ja;SHZV-Ja"
"2114692401-0010";"07.04.2026";"0017700599";"SHZV-Ja"
"2112581435-0010";"07.04.2026";"0017839665";"BEIV-Ja"
"2114816962-0020";"07.04.2026";"0016447014";"SHZV-Ja"
"2114818609-0020";"07.04.2026";"0016407452";"SHZV-Ja"
"2114822797-0020";"07.04.2026";"0018066834";"SHZV-Ja"
"2113115479-0010";"07.04.2026";"0018548961";"SHZV-Ja"
"2113015301-0010";"07.04.2026";"0018540757";""
"2110441567-0020";"07.04.2026";"0017302077";"SHZV-Nein"
"2114545599-0010";"07.04.2026";"0016253191";"SHZV-Nein"
"2114264853-0020";"07.04.2026";"0019396149";"SHZV-Ja"
"2115106324-0010";"07.04.2026";"0019605306";""
"2115075036-0010";"07.04.2026";"0019598291";"BEIV-Ja;SHZV-Ja"
"2114985243-0020";"07.04.2026";"0018973944";"BEIV-Nein;SHZV-Ja"
"2114876740-0010";"07.04.2026";"0018201910";"SHZV-Ja"
"2114539359-0020";"07.04.2026";"0019461639";"SHZV-Ja"
"2115033041-0020";"07.04.2026";"0019587613";"SHZV-Ja"
"2115071307-0010";"07.04.2026";"0019494961";"SHZV-Ja"
"2115138390-0020";"07.04.2026";"0019608520";"SHZV-Ja"
"2115159740-0010";"07.04.2026";"0017062659";"SHZV-Ja"
"2114637470-0010";"07.04.2026";"0016147274";"Global-Nein"
"2114477862-0010";"07.04.2026";"0019069284";"SHZV-Ja"
"2114835313-0010";"07.04.2026";"0019243869";"BEIV-Ja;SHZV-Ja"
"2115122574-0020";"07.04.2026";"0019501855";"SHZV-Ja"
"2115181877-0010";"07.04.2026";"0019621724";"SHZV-Nein"
"2115183001-0010";"07.04.2026";"0016321242";"SHZV-Ja"
"2115185099-0010";"07.04.2026";"0019622445";"SHZV-Ja"
"2115186143-0010";"07.04.2026";"0019622717";"SHZV-Ja"
"2115186149-0010";"07.04.2026";"0019622723";""
"2115186269-0010";"07.04.2026";"0019622794";""
"2114768278-0020";"07.04.2026";"0019524175";""
"2114771042-0010";"07.04.2026";"0018939610";"SHZV-Ja"
"2113483960-0010";"07.04.2026";"0016652411";""
"2115186025-0010";"07.04.2026";"0019494218";"SHZV-Ja"
"2114805215-0010";"07.04.2026";"0018772211";"Global-Nein"
"2110311217-0020";"07.04.2026";"0016471162";"SHZV-Ja"
"2110252082-0010";"07.04.2026";"0016019895";"SHZV-Ja"
"2114238902-0010";"07.04.2026";"0017364033";"SHZV-Ja"
"2111680700-0010";"08.04.2026";"0016000085";"SHZV-Ja"
"2114261479-0010";"08.04.2026";"0019221243";"SHZV-Nein"
"2114607850-0010";"08.04.2026";"0018521230";"SHZV-Ja"
"2114932459-0020";"08.04.2026";"0019564083";"SHZV-Ja"
"2114934356-0010";"08.04.2026";"0019392465";"SHZV-Ja"
"2115059047-0020";"08.04.2026";"0019594497";"SHZV-Ja"
"2115121412-0020";"08.04.2026";"0019608204";"SHZV-Ja"
"2115122861-0020";"08.04.2026";"0017037839";"SHZV-Ja"
"2115123867-0020";"08.04.2026";"0019210467";"SHZV-Ja"
"2112820140-0010";"08.04.2026";"0017010453";"Global-Nein"
"2112990021-0010";"08.04.2026";"0018975417";"Global-Nein"
"2114787930-0010";"08.04.2026";"0017656343";"SHZV-Ja"
"2115124435-0020";"08.04.2026";"0019608889";""
"2111237647-0020";"08.04.2026";"0018282257";"BEIV-Ja;SHZV-Nein"
"2114443277-0010";"08.04.2026";"0018422719";"Global-Nein"
"2114307640-0020";"08.04.2026";"0016161003";"SHZV-Nein"
"2114065301-0010";"08.04.2026";"0016150120";"Global-Nein"
"2114729669-0020";"08.04.2026";"0019117622";"Global-Nein"
"2110233000-0010";"08.04.2026";"0016170170";"SHZV-Ja"
"2115040068-0010";"08.04.2026";"0019589736";"Global-Nein"
"2115107969-0010";"08.04.2026";"0019605633";"Global-Nein"
"2110479398-0020";"08.04.2026";"0017602299";"SHZV-Ja"
"2113812577-0010";"08.04.2026";"0018193103";"SHZV-Ja"
"2113781579-0010";"08.04.2026";"0017860146";"BEIV-Ja;SHZV-Ja"
"2114120134-0010";"08.04.2026";"0018963873";"SHZV-Ja"
"2114593034-0010";"08.04.2026";"0018838993";"SHZV-Ja"
"2114821266-0020";"08.04.2026";"0018422572";"BEIV-Ja;SHZV-Ja"
"2115150758-0010";"08.04.2026";"0017708975";"SHZV-Ja"
"2114759903-0020";"08.04.2026";"0019521788";"SHZV-Ja"
"2115182112-0010";"08.04.2026";"0019284130";"BEIV-Ja;SHZV-Ja"
"2110343546-0010";"08.04.2026";"0016115259";""
"2114805429-0020";"08.04.2026";"0019205037";"SHZV-Ja"
"2114907180-0010";"08.04.2026";"0017405259";"SHZV-Nein"
"2114796111-0010";"08.04.2026";"0017835903";"BEIV-Ja;SHZV-Ja"
"2115094122-0020";"08.04.2026";"0018223931";"SHZV-Ja"
"2115032115-0020";"08.04.2026";"0019587363";"SHZV-Ja"
"2115064842-0020";"08.04.2026";"0019595761";"SHZV-Ja"
"2115129556-0020";"08.04.2026";"0019389571";"SHZV-Ja"
"2115141743-0010";"08.04.2026";"0019507811";"BEIV-Ja;SHZV-Ja"
"2115159983-0010";"08.04.2026";"0018791492";"BEIV-Nein;SHZV-Ja"
"2114144366-0010";"08.04.2026";"0018067004";"SHZV-Ja"
"2110341071-0010";"08.04.2026";"0016112530";""
"2115157424-0010";"08.04.2026";"0019268225";"SHZV-Ja"
"2115183038-0010";"08.04.2026";"0017841568";"BEIV-Ja;SHZV-Ja"
"2115184151-0010";"08.04.2026";"0018204026";"SHZV-Ja"
"2115185086-0010";"08.04.2026";"0017625880";"SHZV-Ja"
"2114868356-0010";"08.04.2026";"0018152247";"SHZV-Ja"
"2115186455-0010";"08.04.2026";"0019543548";"SHZV-Ja"
"2115186119-0010";"08.04.2026";"0019622713";"SHZV-Ja"
"2115186472-0010";"08.04.2026";"0019622904";""
"2115186999-0010";"08.04.2026";"0019605093";"SHZV-Ja"
"2111647172-0010";"08.04.2026";"0016222746";"BEIV-Ja;SHZV-Ja"
"2112129648-0010";"08.04.2026";"0017836338";"SHZV-Ja"
"2114833596-0010";"09.04.2026";"0019540750";"Global-Nein"
"2110458230-0010";"09.04.2026";"0016002483";"SHZV-Ja"
"2110411613-0010";"09.04.2026";"0017258476";"SHZV-Ja"
"2110284329-0010";"09.04.2026";"0016056436";""
"2113485218-0010";"09.04.2026";"0017521896";"Global-Nein"
"2113525472-0010";"09.04.2026";"0016377772";"SHZV-Nein"
"2114170093-0010";"09.04.2026";"0018377819";"BEIV-Ja;SHZV-Nein"
"2114185655-0010";"09.04.2026";"0018809347";"SHZV-Ja"
"2114530221-0020";"09.04.2026";"0019459049";"SHZV-Nein"
"2114821511-0010";"09.04.2026";"0016259134";"SHZV-Ja"
"2114538004-0010";"09.04.2026";"0019323301";"SHZV-Ja"
"2114892075-0010";"09.04.2026";"0016492347";""
"2114918387-0010";"09.04.2026";"0019512787";"SHZV-Ja"
"2114990390-0010";"09.04.2026";"0019576915";""
"2115033776-0010";"09.04.2026";"0018471357";"SHZV-Nein"
"2110240256-0250";"09.04.2026";"0016178415";"SHZV-Ja;SHJV-Nein;SHZA-Nein"
"2115064082-0010";"09.04.2026";"0017002607";"SHZV-Ja"
"2115108421-0010";"09.04.2026";"0019427887";"BEIV-Ja;SHZV-Ja"
"2115110532-0010";"09.04.2026";"0019606168";""
"2115117660-0010";"09.04.2026";"0018757331";"BEIV-Ja;SHZV-Ja"
"2115183736-0010";"09.04.2026";"0019622185";"SHZV-Ja"
"2115184776-0010";"09.04.2026";"0019622394";"SHZV-Ja"
"2115064082-0010";"09.04.2026";"0018795478";"SHZV-Ja"
"2110244679-0060";"09.04.2026";"0016184108";""
"2110325865-0030";"09.04.2026";"0016242617";"SHZV-Ja"
"2114843936-0010";"09.04.2026";"0019364569";"SHZV-Nein"
"2115124511-0020";"09.04.2026";"0018594238";"SHZV-Ja"
"2111680789-0010";"09.04.2026";"0018475627";"SHZV-Ja"
"2110328766-0020";"09.04.2026";"0016100772";"SHZV-Nein"
"2110371023-0010";"09.04.2026";"0017478313";"Global-Nein"
"2110308652-0020";"09.04.2026";"0016232530";"Global-Nein"
"2115116150-0010";"09.04.2026";"0016732991";"SHZV-Ja"
"2115145197-0010";"09.04.2026";"0019613162";"Global-Nein"
"2114954867-0010";"09.04.2026";"0019546535";"Global-Nein"
"2115176506-0010";"09.04.2026";"0019608694";"Global-Nein"
"2110255972-0010";"09.04.2026";"0016023784";"Global-Nein"
"2110273910-0020";"09.04.2026";"0016652736";"Global-Nein"
"2113041393-0010";"09.04.2026";"0018768142";"Global-Nein"
"2110429515-0030";"09.04.2026";"0017717154";""
"2114163404-0010";"09.04.2026";"0017616766";"Global-Nein"
"2111614766-0010";"09.04.2026";"0017820723";"Global-Nein"
"2110343230-0010";"09.04.2026";"0016114822";""
"2114592036-0010";"09.04.2026";"0016386462";"Global-Nein"
"2110458571-0010";"09.04.2026";"0017331723";"Global-Nein"
"2114476914-0010";"09.04.2026";"0017124330";"Global-Nein"
"2115181934-0010";"09.04.2026";"0018152825";"Global-Nein"
"2113709453-0010";"09.04.2026";"0019214843";"SHZV-Ja"
"2110979405-0030";"09.04.2026";"0017404744";""
"2114049059-0010";"09.04.2026";"0019325842";"SHZV-Ja"
"2114369539-0010";"09.04.2026";"0017433526";"SHZV-Ja"
"2114815446-0020";"09.04.2026";"0017006596";"SHZV-Ja"
"2114818314-0020";"09.04.2026";"0018021376";"BEIV-Ja;SHZV-Ja"
"2114874539-0010";"09.04.2026";"0016113692";"BEIV-Ja;SHZV-Ja"
"2114916680-0020";"09.04.2026";"0016380685";"SHZV-Ja"
"2115008844-0010";"09.04.2026";"0015531577";"SHZV-Ja"
"2110223999-0010";"09.04.2026";"0016160231";"SHZV-Ja"
"2112469383-0010";"09.04.2026";"0018778684";"SHZV-Ja"
"2113338293-0010";"09.04.2026";"0017732416";""
"2114958400-0010";"09.04.2026";"0018965818";"Global-Nein"
"2110822249-0010";"09.04.2026";"0017795511";""
"2114035545-0010";"09.04.2026";"0019328517";"SHZV-Ja"
"2115023625-0010";"09.04.2026";"0019520680";""
"2110353638-0010";"09.04.2026";"0016320900";"SHZV-Nein"
"2114822596-0020";"09.04.2026";"0019440804";"NOZV-Ja;SHZV-Ja"
"2112552765-0010";"09.04.2026";"0018074731";"SHZV-Ja"
"2114793978-0020";"09.04.2026";"0019530760";"SHZV-Ja"
"2115077872-0010";"09.04.2026";"0019303556";"SHZV-Ja"
"2110308710-0020";"09.04.2026";"0016679516";""
"2110264646-0010";"09.04.2026";"0016035326";"BEIV-Ja;SHZV-Ja"
"2114590022-0010";"09.04.2026";"0019476563";""
"2114674951-0010";"09.04.2026";"0016081158";"SHZV-Ja"
"2114784973-0010";"09.04.2026";"0016150942";""
"2114814310-0020";"09.04.2026";"0016116349";"SHZV-Ja"
"2114813812-0020";"09.04.2026";"0016355715";"SHZV-Ja"
"2114836313-0010";"09.04.2026";"0017665483";"SHZV-Nein"
"2114370646-0010";"09.04.2026";"0019425410";""
"2115075755-0010";"09.04.2026";"0018227259";"SHZV-Nein"
"2115053943-0010";"09.04.2026";"0018876713";"SHZV-Ja"
"2115182972-0010";"09.04.2026";"0019415419";"SHZV-Ja"
"2115122053-0020";"09.04.2026";"0019539891";"SHZV-Ja"
"2115170441-0020";"09.04.2026";"0018840365";""
"2115176363-0010";"09.04.2026";"0016105252";"SHZV-Ja"
"2115178924-0010";"09.04.2026";"0017623809";"Global-Nein"
"2115178695-0010";"09.04.2026";"0018734325";"SHZV-Ja"
"2115180822-0010";"09.04.2026";"0018979868";"SHZV-Nein"
"2115181377-0010";"09.04.2026";"0019501446";"SHZV-Ja"
"2115184142-0010";"09.04.2026";"0018571411";""
"2115184132-0010";"09.04.2026";"0019203828";"BEIV-Ja;SHZV-Ja"
"2115183765-0010";"09.04.2026";"0019622198";"SHZV-Ja"
"2115183796-0010";"09.04.2026";"0019604242";"SHZV-Ja"
"2115184936-0010";"09.04.2026";"0019236974";"SHZV-Ja"
"2115185333-0010";"09.04.2026";"0019622533";"SHZV-Nein"
"2110213903-0050";"09.04.2026";"0016144337";""
"2114524041-0010";"09.04.2026";"0016542399";"Global-Nein"
"2114121039-0020";"09.04.2026";"0019202857";"NOZV-Ja;SHZV-Nein"
